symbol,company_name,longBusinessSummary,industry,sector,country,is_rated_obligor,totalDebt_usd,totalRevenue_usd,Agency Rating,cb_rating,CB pd
0008.HK,PCCW Limited,"PCCW Limited, together with its subsidiaries, provides telecommunications and related services in Hong Kong, Mainland and other parts of China, Singapore, and internationally. It operates through HKT Limited (HKT), Media Business, and Other Businesses of the Group (Other Businesses) segments. The company offers local telephony, local data and broadband, mobile, enterprise solutions, international telecommunications, and network-based telecommunications services; outsourcing and contact center services; IT solutions; and technical consulting and engineering services. It also provides free television, pay television program, interactive multimedia, and mobile video on demand and advertising services through OTT platform; sells advertising in various telephone directories and on the Internet, and mobile handsets and accessories; publishes directories; and distributes media content. In addition, the company offers broadcasting and related services, management and engineering support services, customer relationship management and customer contact management solutions, and content related services; and over-the-top video services under the Viu brand, as well as sells customer premises equipment and related solutions. Further, it engages in the sale, distribution, and marketing of telecommunication products and services; provision of data services; system design, project management, system implementation, managed services, hardware, hosting, software development, testing, and maintenance; the provision of computer and IP/IT related value-added services to business customers; operates customer loyalty program and online merchandise sales; and content production, talent management, and entertainment business. Additionally, the company offers e-commerce, travel, insurance, big data analytics, fintech, and health-tech services. The company was founded in 1925 and is headquartered in Quarry Bay, Hong Kong.",Telecom Services,Communication Services,Hong Kong,False,8011276519.305094,5134543725.806184,,BBB+,0.0015
0017.HK,New World Development Company Limited,"New World Development Company Limited, an investment holding company, operates in the property development and investment business in Hong Kong and Mainland China. Its property portfolio includes residential, retail, office, and industrial properties. The company is also involved in the loyalty program, fashion retailing and trading, and land development businesses; and development and operation of sports park. In addition, it operates club houses, golf and tennis academies, and shopping malls; constructs and operates Skycity complex; and operates department stores. Further, the company offers information technology, training course, ticketing, financial, project management, retail and corporate sales, management, culture and recreation, construction, estate agency, supply chain management, property management, business and investment consultancy, accountancy and advisory, and consultancy services. Additionally, it invests in, owns, and operates hotel properties. New World Development Company Limited was incorporated in 1970 and is headquartered in Central, Hong Kong.",Real Estate - Diversified,Real Estate,Hong Kong,False,19612894631.175846,2459675088.5577188,,BB+,0.006
0027.HK,Galaxy Entertainment Group Limited,"Galaxy Entertainment Group Limited, an investment holding company, engages in the gaming and entertainment businesses in Macau, Hong Kong, and Mainland China. It operates through Gaming and Entertainment, and Construction Materials segments. The company operates casino games of chance or games of other forms; provides hospitality and related services; and manufacture, sale and distribution of construction materials. It develops and operates operates three flagship destinations in Macau such as integrated destination resorts in Galaxy Macau; unique landmark entertainment and food street destination adjoining Broadway Macau; and StarWorld Hotel, a five-star luxury hotel on the Peninsula. In addition, the company engages in sale and distribution of concrete pipes; provision of management services; and manufacture, sale, distribution and laying of asphalt, road base and bituminous materials, bricks, concrete pipes, cement, and slag; and provision of road marking services; and ready-mixed concrete; as well as management of galaxy international convention center and galaxy arena. Further, it offers truck leasing; quality assurance; cross-border transportation service, hospitality, marketing and promotion services, and project management activities. The company was incorporated in 1987 and is based in Central, Hong Kong.",Resorts & Casinos,Consumer Cyclical,Hong Kong,False,259875639.04782662,6288051995.841553,,BBB+,0.0015
0041.HK,Great Eagle Holdings Limited,"Great Eagle Holdings Limited, together with its subsidiaries, engages in the real estate business in Hong Kong, the United States, Mainland China, Canada, the United Kingdom, Australia, New Zealand, Japan, Italy, and internationally. The company operates through seven segments: Hotel Operation, Property Investment, Property Development, Other Operations, Champion REIT, Langham, and US Real Estate Fund. It offers hotel accommodation and management, as well as food and banquet operations; and invests in, owns, develops, manages, leases, and sells hotel, residential, office, retail, industrial, and mixed-use properties. The company also sells building materials; operates workspace; provides procurement services; maintenance and property agency services; and invests in securities. In addition, it engages in restaurant management and operation; management of real estate investment trust; financing; holding of recreational club membership debenture; provision of secretarial, property consultancy, and project advisory services; management, marketing, and staff services; and warehousing. Further, the company is involved in treasury management; beauty store operations; medium term notes issuance; provision of computer system solutions; general trading business; and investment fund management. Great Eagle Holdings Limited was founded in 1963 and is headquartered in Wan Chai, Hong Kong.",Real Estate - Diversified,Real Estate,Hong Kong,False,3964166223.110103,2507591724.2438774,,BBB+,0.0015
0101.HK,Hang Lung Properties Limited,"Hang Lung Properties Limited, an investment holding company, operates as a property developer in Hong Kong and Mainland China. It operates through Property Leasing, Hotels, and Property Sales segments. The company is involved in property development, sale, and leasing, as well as car park management and property management; develops, holds, and manages commercial complexes; and customer engagement business, including hello Hang Lung mall rewards program and House 66. Its properties include a portfolio of retail, office, residential, and serviced apartments. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",Real Estate Services,Real Estate,Hong Kong,False,6948191704.311098,1269604448.9306297,,BBB+,0.0015
0135.HK,Kunlun Energy Company Limited,"Kunlun Energy Company Limited, an investment holding company, engages in the exploration, development, production, and sale of crude oil and natural gas in the Republic of Kazakhstan, the Sultanate of Oman, and the Kingdom of Thailand. The company operates through Natural Gas Sales; Sales of Liquefied Petroleum Gas (LPG); Liquefied Natural Gas (LNG) Processing and Terminal; and Exploration and Production segments. It is also involved in the processing, unloading, storing, gasification, and entrucking of LNG; trading, distribution, and retail sale of various natural gas products; and wholesale and retail of various LPG products. The company was formerly known as CNPC (Hong Kong) Limited and changed its name to Kunlun Energy Company Limited in March 2010. Kunlun Energy Company Limited was incorporated in 1991 and is based in Hong Kong, Hong Kong. Kunlun Energy Company Limited operates as a subsidiary of PetroChina Hong Kong Limited.",Oil & Gas Refining & Marketing,Energy,Hong Kong,False,3162557209.505433,28640043370.69126,,BBB,0.002
0142.HK,First Pacific Company Limited,"First Pacific Company Limited, an investment holding company, engages in the consumer food products, telecommunications, infrastructure, and natural resources businesses in the Philippines, Indonesia, Singapore, the Middle East, Africa, and internationally. The company offers a range of telecommunications and digital services, including fiber-optic backbone, fixed-line, and cellular networks. It also manufactures and distributes consumer-branded goods and a range of food products, including noodles, dairy products, snack foods, food seasonings, nutrition and special foods, beverages, and products comprising wheat flour and pasta under the Bogasari brand. In addition, the company is involved in agribusiness activities, such as seed breeding; oil palm cultivation, milling, and the production of cooking oils, margarine, and shortening; as well as the cultivation and processing of sugar cane, rubber, and other crops. Further, it explores for, mines, and produces gold, copper, and silver. Additionally, the company is involved in the operation of gas-fired power plants; the provision of water distribution, sewerage, and sanitation services, as well as healthcare and real estate solutions; the operation of toll roads and light rail; and the distribution of electricity. First Pacific Company Limited was founded in 1981 and is headquartered in Central, Hong Kong.",Packaged Foods,Consumer Defensive,Hong Kong,False,13014099968.0,10232500224.0,,BBB+,0.0015
0144.HK,China Merchants Port Holdings Company Limited,"China Merchants Port Holdings Company Limited, an investment holding company, engages in ports operation, bonded logistics operation, and property investment in the Mainland China, Hong Kong, Taiwan, Brazil, and internationally. The company operates through Ports Operation, Bonded Logistics Operation, and Other Operations segments. It engages in the container, and bulk and general cargo terminal operation; logistic park operation, ports transportation, and airport cargo handling; and property development and investment, as well as logistics operation activities. The company also provides container related logistics services; financial services; port development, management, and operation services; trading, terminal operation, and repair and maintenance services. In addition, it offers handling and stevedoring container services; loads and unloads goods; operates berths and tugboats; services on ports construction; and holds various pieces of land. The company was formerly known as China Merchants Holdings (International) Company Limited and changed its name to China Merchants Port Holdings Company Limited in June 2016. China Merchants Port Holdings Company Limited was founded in 1872 and is headquartered in Central, Hong Kong.",Marine Shipping,Industrials,Hong Kong,False,4629151202.175072,1703435902.2815685,,BBB,0.002
0166.HK,New Times Corporation Limited,"New Times Corporation Limited, an investment holding company, engages in exploration, development, and production of natural resources in Hong Kong and Canada. It operates through two segments: Energy Upstream and Industrial Park Development; and Precious Metals Refinery and Trading. The company sells oil and gas products, as well as engages in the refinery and trading of precious metals, such as gold and silver; and energy transition business. It also holds 800 active wells, spanning approximately 761,000 acres, located in Alberta and British Columbia. In addition, it operates industrial park that offers industrial land, buildings, and warehouses for lease. The company was formerly known as New Times Energy Corporation Limited and changed its name to New Times Corporation Limited in August 2024. New Times Corporation Limited is headquartered in Central, Hong Kong. New Times Corporation Limited operates as a subsidiary of Max Sun Enterprises Limited.",Other Industrial Metals & Mining,Basic Materials,Hong Kong,False,2729783.380304684,1904164174.7476346,,BB,0.01
0240.HK,Build King Holdings Limited,"Build King Holdings Limited, an investment holding company, engages in the building construction and civil engineering works in Hong Kong and the People's Republic of China. It constructs institutions/schools, residential and commercial buildings, as well as undertakes fitting out, improvement, and alteration works for buildings. The company also undertakes environmental projects; foundation works; general civil works, including airport, drainage and water, landscaping, site formation, sports ground and park, and road and bridge works; marine works comprising general marine works and submarine pipelines; railway infrastructure and track works; structural steel works; and tunnel works. In addition, it provides property development; marine engineering and transportation; sewage treatment; electrical and mechanical engineering; environmental engineering; and marine construction contracting services. Further, the company supplies steam fuel. Build King Holdings Limited was founded in 1980 and is headquartered in Kwun Tong, Hong Kong. Build King Holdings Limited operates as a subsidiary of Wai Kee Holdings Limited.",Engineering & Construction,Industrials,Hong Kong,False,18163519.396651614,1765774970.3698125,,BBB+,0.0015
